,caseID,eoff,acc,crash
1,1,0,-10.3,0
2,1,0.1,-10.3,0
3,1,0.2,-10.3,0
4,1,0.3,-10.3,0
5,1,0.4,-10.3,0
6,1,0.5,-10.3,0
7,1,0.6,-10.3,0
8,1,0.7,-10.3,0
9,1,0.8,-10.3,0
10,1,0.9,-10.3,0
11,1,1,-10.3,0
12,1,1.1,-10.3,0
13,1,1.2,-10.3,1
14,1,1.3,-10.3,1
15,1,1.4,-10.3,1
16,1,1.5,-10.3,1
17,1,1.6,-10.3,1
18,1,1.7,-10.3,1
19,1,1.8,-10.3,1
20,1,1.9,-10.3,1
21,1,2,-10.3,1
22,1,2.1,-10.3,1
23,1,2.2,-10.3,1
24,1,2.3,-10.3,1
25,1,2.4,-10.3,1
26,1,2.5,-10.3,1
27,1,2.6,-10.3,1
28,1,2.7,-10.3,1
29,1,2.8,-10.3,1
30,1,2.9,-10.3,1
31,1,3,-10.3,1
32,1,3.1,-10.3,1
33,1,3.2,-10.3,1
34,1,3.3,-10.3,1
35,1,3.4,-10.3,1
36,1,3.5,-10.3,1
37,1,3.6,-10.3,1
38,1,3.7,-10.3,1
39,1,3.8,-10.3,1
40,1,3.9,-10.3,1
41,1,4,-10.3,1
42,1,4.1,-10.3,1
43,1,4.2,-10.3,1
44,1,4.3,-10.3,1
45,1,4.4,-10.3,1
46,1,4.5,-10.3,1
47,1,4.6,-10.3,1
48,1,4.7,-10.3,1
49,1,4.8,-10.3,1
50,1,4.9,-10.3,1
51,1,5,-10.3,1
52,1,5.1,-10.3,1
53,1,5.2,-10.3,1
54,1,5.3,-10.3,1
55,1,5.4,-10.3,1
56,1,5.5,-10.3,1
57,1,5.6,-10.3,1
58,1,5.7,-10.3,1
59,1,5.8,-10.3,1
60,1,5.9,-10.3,1
61,1,6,-10.3,1
62,1,6.1,-10.3,1
63,1,6.2,-10.3,1
64,1,6.3,-10.3,1
65,1,6.4,-10.3,1
66,1,6.5,-10.3,1
67,1,6.6,-10.3,1
68,1,0,-3.3,1
69,1,0.1,-3.3,1
70,1,0.2,-3.3,1
71,1,0.3,-3.3,1
72,1,0.4,-3.3,1
73,1,0.5,-3.3,1
74,1,0.6,-3.3,1
75,1,0.7,-3.3,1
76,1,0.8,-3.3,1
77,1,0.9,-3.3,1
